First Name,Last Name,Email,Employer,Classification,Local,Notes
Emerson,Harris,emerson.harris69@example-union.org,Maple Street Fabrication,Journeyperson,Local 101,clear
Finley,Garcia,finley.garcia70@sampleco.ca,Northern Grid Services,Apprentice Year 1,Local 212,clear

Hayden,Clark  ,hayden.clark71@opsdemo.net,Lakeside Industrial,Apprentice Year 2,Local 303,clear
Logan,Lee,logan.lee72@example-union.org,Bridgeway Infrastructure,Apprentice Year 3,Local 414,needs follow-up; missing badge photo
Noah,O'Connor,noah.oconnor73@sampleco.ca,Northshore Mechanical,Foreperson,Local 515,"assigned to, mobile crew"
Liam,Nguyen,liam.nguyen74@opsdemo.net,Prairie Build Systems,Welder,Local 626,clear
Mason,Chen,mason.chen75@example-union.org,Harborline Electrical,Operator,Local 101,  reviewed by lead steward  
Ethan,Wilson,ethan.wilson76@sampleco.ca,Summit Civil Group,Rigger,Local 212,clear
Olivia,Davis,olivia.davis77@opsdemo.net,Metro Transit Works,Journeyperson,Local 303,clear
Emma,Allen,emma.allen78@example-union.org,Union Ridge Contractors,Apprentice Year 1,Local 414,clear
Sophia,Scott,sophia.scott79@sampleco.ca,Maple Street Fabrication,Apprentice Year 2,Local 515,clear
Mia,Johnson,mia.johnson80@opsdemo.net,Northern Grid Services,Apprentice Year 3,Local 626,clear
Charlotte,Anderson,charlotte.anderson81@example-union.org,Lakeside Industrial,Foreperson,Local 101,"assigned to, mobile crew"
Amelia,White,amelia.white82@sampleco.ca,Bridgeway Infrastructure,Welder,Local 212,clear
Harper,Thompson,harper.thompson83@opsdemo.net,Northshore Mechanical,Operator,Local 303,clear
  Evelyn,Robinson,evelyn.robinson84@example-union.org,Prairie Build Systems,Rigger,Local 414,clear
Abigail,Lewis,abigail.lewis85@sampleco.ca,Harborline Electrical,Journeyperson,Local 515,needs follow-up; missing badge photo
Ella,Hall,ella.hall86@opsdemo.net,Summit Civil Group,Apprentice Year 1,Local 626,clear
Aria,St-Pierre,aria.stpierre87@example-union.org,Metro Transit Works,Apprentice Year 2,Local 101,clear
Scarlett,Singh,scarlett.singh88@sampleco.ca,Union Ridge Contractors,Apprentice Year 3,Local 212,clear
Penelope,Gonzalez,penelope.gonzalez89@opsdemo.net,Maple Street Fabrication,Foreperson,Local 303,"assigned to, mobile crew"
Luna,Mitchell  ,luna.mitchell90@example-union.org,Northern Grid Services,Welder,Local 414,clear
Nora,Young,nora.young91@sampleco.ca,Lakeside Industrial,Operator,Local 515,clear
Hazel,Wright,hazel.wright92@opsdemo.net,Bridgeway Infrastructure,Rigger,Local 626,clear
Avery,Smith,avery.smith93@example-union.org,Northshore Mechanical,Journeyperson,Local 101,clear
Jordan,Taylor,jordan.taylor94@sampleco.ca,Prairie Build Systems,Apprentice Year 1,Local 212,clear
Taylor,Jackson,taylor.jackson95@opsdemo.net,Harborline Electrical,Apprentice Year 2,Local 303,clear
Casey,Martin,casey.martin96@example-union.org,Summit Civil Group,Apprentice Year 3,Local 414,  reviewed by lead steward  
Morgan,Martinez,morgan.martinez97@sampleco.ca,Metro Transit Works,Foreperson,Local 515,"assigned to, mobile crew"
Riley,Rodriguez,riley.rodriguez1@opsdemo.net,Union Ridge Contractors,Welder,Local 626,needs follow-up; missing badge photo
Jamie,Walker,jamie.walker2@example-union.org,Maple Street Fabrication,Operator,Local 101,clear
Quinn,McNeil,quinn.mcneil3@sampleco.ca,Northern Grid Services,Rigger,Local 212,clear
  Cameron,Patel,cameron.patel4@opsdemo.net,Lakeside Industrial,Journeyperson,Local 303,clear
Drew,Kim,drew.kim5@example-union.org,Bridgeway Infrastructure,Apprentice Year 1,Local 414,clear
Parker,Campbell,parker.campbell6@sampleco.ca,Northshore Mechanical,Apprentice Year 2,Local 515,clear
Alex,Moore,alex.moore7@opsdemo.net,Prairie Build Systems,Apprentice Year 3,Local 626,clear
Reese,King,reese.king8@example-union.org,Harborline Electrical,Foreperson,Local 101,"assigned to, mobile crew"
Dakota,Green,dakota.green9@sampleco.ca,Summit Civil Group,Welder,Local 212,clear
Rowan,Brown,rowan.brown10@opsdemo.net,Metro Transit Works,Operator,Local 303,clear

Skyler,Thomas,skyler.thomas11@example-union.org,Union Ridge Contractors,Rigger,Local 414,clear
Emerson,Harris  ,emerson.harris12@sampleco.ca,Maple Street Fabrication,Journeyperson,Local 515,clear
Finley,Garcia,finley.garcia13@opsdemo.net,Northern Grid Services,Apprentice Year 1,Local 626,clear
Hayden,Clark,hayden.clark14@example-union.org,Lakeside Industrial,Apprentice Year 2,Local 101,needs follow-up; missing badge photo
Logan,Lee,logan.lee15@sampleco.ca,Bridgeway Infrastructure,Apprentice Year 3,Local 212,clear
Noah,O'Connor,noah.oconnor16@opsdemo.net,Northshore Mechanical,Foreperson,Local 303,"assigned to, mobile crew"
Liam,Nguyen,liam.nguyen17@example-union.org,Prairie Build Systems,Welder,Local 414,clear
Mason,Chen,mason.chen18@sampleco.ca,Harborline Electrical,Operator,Local 515,clear
Ethan,Wilson,ethan.wilson19@opsdemo.net,Summit Civil Group,Rigger,Local 626,clear
Olivia,Davis,olivia.davis20@example-union.org,Metro Transit Works,Journeyperson,Local 101,  reviewed by lead steward  
  Emma,Allen,emma.allen21@sampleco.ca,Union Ridge Contractors,Apprentice Year 1,Local 212,clear
Sophia,Scott,sophia.scott22@opsdemo.net,Maple Street Fabrication,Apprentice Year 2,Local 303,clear
Mia,Johnson,mia.johnson23@example-union.org,Northern Grid Services,Apprentice Year 3,Local 414,clear
Charlotte,Anderson,charlotte.anderson24@sampleco.ca,Lakeside Industrial,Foreperson,Local 515,"assigned to, mobile crew"
Amelia,White,amelia.white25@opsdemo.net,Bridgeway Infrastructure,Welder,Local 626,clear
Harper,Thompson,harper.thompson26@example-union.org,Northshore Mechanical,Operator,Local 101,clear
Evelyn,Robinson,evelyn.robinson27@sampleco.ca,Prairie Build Systems,Rigger,Local 212,needs follow-up; missing badge photo
Abigail,Lewis,abigail.lewis28@opsdemo.net,Harborline Electrical,Journeyperson,Local 303,clear
Ella,Hall,ella.hall29@example-union.org,Summit Civil Group,Apprentice Year 1,Local 414,clear
Aria,St-Pierre,aria.stpierre30@sampleco.ca,Metro Transit Works,Apprentice Year 2,Local 515,clear
Scarlett,Singh  ,scarlett.singh31@opsdemo.net,Union Ridge Contractors,Apprentice Year 3,Local 626,clear
Penelope,Gonzalez,penelope.gonzalez32@example-union.org,Maple Street Fabrication,Foreperson,Local 101,"assigned to, mobile crew"
Luna,Mitchell,luna.mitchell33@sampleco.ca,Northern Grid Services,Welder,Local 212,clear
Nora,Young,nora.young34@opsdemo.net,Lakeside Industrial,Operator,Local 303,clear
Hazel,Wright,hazel.wright35@example-union.org,Bridgeway Infrastructure,Rigger,Local 414,clear
Avery,Smith,avery.smith36@sampleco.ca,Northshore Mechanical,Journeyperson,Local 515,clear
Jordan,Taylor,jordan.taylor37@opsdemo.net,Prairie Build Systems,Apprentice Year 1,Local 626,clear
  Taylor,Jackson,taylor.jackson38@example-union.org,Harborline Electrical,Apprentice Year 2,Local 101,clear
Casey,Martin,casey.martin39@sampleco.ca,Summit Civil Group,Apprentice Year 3,Local 212,clear
Morgan,Martinez,morgan.martinez40@opsdemo.net,Metro Transit Works,Foreperson,Local 303,"assigned to, mobile crew"
Riley,Rodriguez,riley.rodriguez41@example-union.org,Union Ridge Contractors,Welder,Local 414,  reviewed by lead steward  
Jamie,Walker,jamie.walker42@sampleco.ca,Maple Street Fabrication,Operator,Local 515,clear
Quinn,McNeil,quinn.mcneil43@opsdemo.net,Northern Grid Services,Rigger,Local 626,clear
Cameron,Patel,cameron.patel44@example-union.org,Lakeside Industrial,Journeyperson,Local 101,clear
Drew,Kim,drew.kim45@sampleco.ca,Bridgeway Infrastructure,Apprentice Year 1,Local 212,clear
Parker,Campbell,parker.campbell46@opsdemo.net,Northshore Mechanical,Apprentice Year 2,Local 303,clear
Alex,Moore,alex.moore47@example-union.org,Prairie Build Systems,Apprentice Year 3,Local 414,clear

Reese,King,reese.king48@sampleco.ca,Harborline Electrical,Foreperson,Local 515,"assigned to, mobile crew"
Dakota,Green,dakota.green49@opsdemo.net,Summit Civil Group,Welder,Local 626,clear
Rowan,Brown  ,rowan.brown50@example-union.org,Metro Transit Works,Operator,Local 101,clear
Skyler,Thomas,skyler.thomas51@sampleco.ca,Union Ridge Contractors,Rigger,Local 212,clear
Emerson,Harris,emerson.harris52@opsdemo.net,Maple Street Fabrication,Journeyperson,Local 303,clear
Finley,Garcia,finley.garcia53@example-union.org,Northern Grid Services,Apprentice Year 1,Local 414,needs follow-up; missing badge photo
Hayden,Clark,hayden.clark54@sampleco.ca,Lakeside Industrial,Apprentice Year 2,Local 515,clear
  Logan,Lee,logan.lee55@opsdemo.net,Bridgeway Infrastructure,Apprentice Year 3,Local 626,clear
Noah,O'Connor,noah.oconnor56@example-union.org,Northshore Mechanical,Foreperson,Local 101,"assigned to, mobile crew"
Liam,Nguyen,liam.nguyen57@sampleco.ca,Prairie Build Systems,Welder,Local 212,clear
Mason,Chen,mason.chen58@opsdemo.net,Harborline Electrical,Operator,Local 303,clear
Ethan,Wilson,ethan.wilson59@example-union.org,Summit Civil Group,Rigger,Local 414,clear
Olivia,Davis,olivia.davis60@sampleco.ca,Metro Transit Works,Journeyperson,Local 515,clear
Emma,Allen,emma.allen61@opsdemo.net,Union Ridge Contractors,Apprentice Year 1,Local 626,clear
Sophia,Scott,sophia.scott62@example-union.org,Maple Street Fabrication,Apprentice Year 2,Local 101,  reviewed by lead steward  
Mia,Johnson,mia.johnson63@sampleco.ca,Northern Grid Services,Apprentice Year 3,Local 212,clear
Charlotte,Anderson,charlotte.anderson64@opsdemo.net,Lakeside Industrial,Foreperson,Local 303,"assigned to, mobile crew"
Amelia,White,amelia.white65@example-union.org,Bridgeway Infrastructure,Welder,Local 414,clear
Harper,Thompson,harper.thompson66@sampleco.ca,Northshore Mechanical,Operator,Local 515,needs follow-up; missing badge photo
Evelyn,Robinson,evelyn.robinson67@opsdemo.net,Prairie Build Systems,Rigger,Local 626,clear
Abigail,Lewis,abigail.lewis68@example-union.org,Harborline Electrical,Journeyperson,Local 101,clear
Ella,Hall  ,ella.hall69@sampleco.ca,Summit Civil Group,Apprentice Year 1,Local 212,clear
Aria,St-Pierre,aria.stpierre70@opsdemo.net,Metro Transit Works,Apprentice Year 2,Local 303,clear
Scarlett,Singh,scarlett.singh71@example-union.org,Union Ridge Contractors,Apprentice Year 3,Local 414,clear
  Penelope,Gonzalez,penelope.gonzalez72@sampleco.ca,Maple Street Fabrication,Foreperson,Local 515,"assigned to, mobile crew"
Luna,Mitchell,luna.mitchell73@opsdemo.net,Northern Grid Services,Welder,Local 626,clear
Nora,Young,nora.young74@example-union.org,Lakeside Industrial,Operator,Local 101,clear
Hazel,Wright,hazel.wright75@sampleco.ca,Bridgeway Infrastructure,Rigger,Local 212,clear
Avery,Smith,avery.smith76@opsdemo.net,Northshore Mechanical,Journeyperson,Local 303,clear
Jordan,Taylor,jordan.taylor77@example-union.org,Prairie Build Systems,Apprentice Year 1,Local 414,clear
Taylor,Jackson,taylor.jackson78@sampleco.ca,Harborline Electrical,Apprentice Year 2,Local 515,clear
Casey,Martin,casey.martin79@opsdemo.net,Summit Civil Group,Apprentice Year 3,Local 626,needs follow-up; missing badge photo
Morgan,Martinez,morgan.martinez80@example-union.org,Metro Transit Works,Foreperson,Local 101,"assigned to, mobile crew"
Riley,Rodriguez,riley.rodriguez81@sampleco.ca,Union Ridge Contractors,Welder,Local 212,clear
Jamie,Walker,jamie.walker82@opsdemo.net,Maple Street Fabrication,Operator,Local 303,clear
Quinn,McNeil,quinn.mcneil83@example-union.org,Northern Grid Services,Rigger,Local 414,  reviewed by lead steward  
Cameron,Patel,cameron.patel84@sampleco.ca,Lakeside Industrial,Journeyperson,Local 515,clear

Drew,Kim,drew.kim85@opsdemo.net,Bridgeway Infrastructure,Apprentice Year 1,Local 626,clear
